# Z-Coordinate, Y-Displacement
2.645000e+00, -1.990072e-01
2.650000e+00, -1.976709e-01
2.655000e+00, -1.962939e-01
2.660000e+00, -1.948771e-01
2.665000e+00, -1.934209e-01
2.670000e+00, -1.919260e-01
2.675000e+00, -1.903928e-01
2.680000e+00, -1.888219e-01
2.685000e+00, -1.872139e-01
2.690000e+00, -1.855692e-01
2.695000e+00, -1.838881e-01
2.700000e+00, -1.821715e-01
2.705000e+00, -1.804193e-01
2.710000e+00, -1.786324e-01
2.715000e+00, -1.768107e-01
2.720000e+00, -1.749551e-01
2.725000e+00, -1.730655e-01
2.730000e+00, -1.711430e-01
2.735000e+00, -1.691869e-01
2.740000e+00, -1.671989e-01
2.745000e+00, -1.651781e-01
2.750000e+00, -1.631263e-01
2.755000e+00, -1.610422e-01
2.760000e+00, -1.589283e-01
2.765000e+00, -1.567827e-01
2.770000e+00, -1.546084e-01
2.775000e+00, -1.524030e-01
2.780000e+00, -1.501701e-01
2.785000e+00, -1.479067e-01
2.790000e+00, -1.456170e-01
2.795000e+00, -1.432973e-01
2.800000e+00, -1.409528e-01
2.805000e+00, -1.385787e-01
2.810000e+00, -1.361811e-01
2.815000e+00, -1.337543e-01
2.820000e+00, -1.313055e-01
2.825000e+00, -1.288279e-01
2.830000e+00, -1.263297e-01
2.835000e+00, -1.238032e-01
2.840000e+00, -1.212575e-01
2.845000e+00, -1.186840e-01
2.850000e+00, -1.160929e-01
2.855000e+00, -1.134750e-01
2.860000e+00, -1.108404e-01
2.865000e+00, -1.081806e-01
2.870000e+00, -1.055046e-01
2.875000e+00, -1.028060e-01
2.880000e+00, -1.000910e-01
2.885000e+00, -9.735683e-02
2.890000e+00, -9.460532e-02
2.895000e+00, -9.183957e-02
2.900000e+00, -8.905461e-02
2.905000e+00, -8.626180e-02
2.910000e+00, -8.344728e-02
2.915000e+00, -8.063307e-02
2.920000e+00, -7.779466e-02
2.925000e+00, -7.496655e-02
2.930000e+00, -7.211309e-02
2.935000e+00, -6.928200e-02
2.940000e+00, -6.642770e-02
2.945000e+00, -6.361016e-02
2.950000e+00, -6.077743e-02
2.955000e+00, -5.799857e-02
2.960000e+00, -5.522071e-02
2.965000e+00, -5.251689e-02
2.970000e+00, -4.983902e-02
2.975000e+00, -4.725822e-02
2.980000e+00, -4.473460e-02
2.985000e+00, -4.233107e-02
2.990000e+00, -4.001752e-02
2.995000e+00, -3.784112e-02
3.000000e+00, -3.577658e-02
